review_text,rating,thumbs_up_count,app_version,source
very poor customer support. very poor app so irritating,1,1,18.14.2,google_play
groww is good platform for share & personal loan,4,2,18.14.2,google_play
"app is fast, but difficult to understand. watch list is for quick view but getting is difficult, 3 taps. default tab option is not present",2,2,18.14.2,google_play
"in this app, i feel a problem because there is no automatic system for them colour change, day time and night time when other apps like angel, upstox etc. has automatic system for them colour change, so please consider it.",5,4,18.14.2,google_play
share pare trading ye sb scam h inse bacho .......,1,0,18.13.2,google_play
disgusting experience of using this application too slow to process the things,1,1,18.14.2,google_play
poor service by groww agent riya poor customer service,1,0,18.14.2,google_play
"the ui offers an excellent balance of ease of use and robust security. customer support is highly responsive, and the detailed company analysis is extremely helpful in making informed investment decisions and choosing the right level of risk.",5,0,18.14.1,google_play
completely satisfied interface as a newbie in investment,5,0,18.14.1,google_play
if suggestions of purchase and sell it would be great,5,0,18.14.1,google_play
one of the wrost broker. there support team and interfaces is not good for trading.,1,0,16.68,google_play
it doesn't allow trigger order without enabling ddpi which should be an option and should not be mandatory,1,1,18.14.2,google_play
worst assistance my problem not at all resolved my account details are not showing raised query but still prolonging to day after day,1,2,18.14.2,google_play
"very third class app , not easy interface indmoney is best app",1,1,18.14.2,google_play
"frequently hang during pick market hours, live chart not updating on time with all the indicators.",5,1,18.14.1,google_play
"please introduce a note-like feature, so it will be easier to track a stock.",3,0,,google_play
i don't want to give a single star this is dump app for trading never use because so many problems server jam late action and legging,1,2,18.14.2,google_play
this time grow app not working very slow network,1,1,18.14.2,google_play
worst experience not working properly and many times leg the application,1,0,,google_play
i have perfect network but still not loading,1,1,18.14.2,google_play
your app is getting slow day by day.,1,0,18.14.2,google_play
"nothing is showing inside the app. after opening it all blank, not showing any data",1,20,18.14.2,google_play
groww app in market open time 9.15 am why ? i have a running position how can i exit,2,0,18.14.1,google_play
app not working properly at the time of market opening..,1,0,18.14.2,google_play
this app was so wonderful but after the update it has become very sluggish.,1,1,18.14.2,google_play
"the groww app service is not working properly. data is not loading in the app, and nothing is displayed on the screen, even though my internet is working perfectly with full speed. please resolve this issue as soon as possible.",1,0,,google_play
app is lagging whenever there is expiry loading becomes difficult,3,0,,google_play
"so slow in morning and at last time of market , pls correct it",1,0,,google_play
i used groww since 2021 it's very good application,5,0,18.14.2,google_play
"one of the frustrating apps to trade on, it's soo slow and buggy",1,0,18.13.2,google_play
"great app with clean interface, very beginner friendly.",5,1,18.13.2,google_play
why switch option not available for other amc in mutual fund,2,0,18.14.1,google_play
guroww is th best app trending all time thanks you groww,5,0,18.14.1,google_play
my pan card number as been taken in one account to open old account give option to open with pan card number to open old account,1,0,18.13.2,google_play
why too much update's came like week after week..why?,3,0,18.14.1,google_play
good app and easy for handling compare to upstox and other apps,5,0,18.14.1,google_play
"this is a terrible app with equally terrible customer support. i've attempted to contact them through both messages and calls, but all interactions are automated with no genuine human connection or assistance. i'm going to uninstall this app immediately.",1,0,18.14.1,google_play
